Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44421,,
Mouse ID,26163-00,,
Disposition,Enddate,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,,
BD,44231,,
Sac Date,44421,,
Age at Sac,190,,
Injection Date,44231,,
Virus 1,RCAS+Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,44354,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,,
Tissue collected,"Brain, lungs, t1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lungs, t1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Brain looked normal, slightly white, soft",,
,"Tumor grew on top of head, seemed attached to skull",,
,May have originated from the brain,,
,"Lungs looked normal, healthy",,
