Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44616,,
Mouse ID,29016-01,,
Disposition,no primary visible,,
Disposition,TVA-,,
Disposition,sac'd because all other mice in cohort were sac'd,,
Disposition,,,
Treatment,,,
Sex,M,`,
Strain,All Alleles,,
BD,44569,,
Sac Date,44616,,
Age at Sac,47,,
Injection Date,"1/11/22, 1/12/22",,
Virus 1,"RCAS myr-HA-AKT1 + RCAS Cre (1/11/22, 1/12/22 GP)",,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,"No evidence of primary, multiple large tumors found in chest cavity",,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,
Tissue collected,"Brain, Liver, lungs, T1, T2",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Liver, lungs, T1, T2",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,"No primary tumor was visible, Upon necropsy, large tumors were found in the chest cavity. Large nodules were present on the lungs as well. TVA- mouse. TVA status will be re-genotyped.",,
