Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44384,,
Mouse ID,26047-03,,
Disposition,Fight wounds around tail,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA:BrafCa/Ca;Tyr/+,,
BD,44220,,
Sac Date,44384,,
Age at Sac,164,,
Injection Date,44222,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA:BrafCa/Ca;Tyr/+,,
Tissue collected,"Brain, Lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,"Mouse showed fighting wounds around hind legs and tail. No obvious tumor was recorded.  Cage was split to avoid fighting, wounds continued. Mouse was sacked, brain and lungs were collected. Nodules on lung. No tumors found during necropsy.",,
