Mouse Necropsy information sheet,...2
Initials,AG
Today's Date,44007
Mouse ID,23564-10
Disposition,"Sacked due to tumor burden, Tumor over skull, scruffy"
Sex,Male
Strain,N-TVA; Ink4a f/f; pten f/f
BD,43946
Sac Date,44007
Age at Sac,62 days
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43950
Virus 1,RCAS-CRE
Virus 2,RCAS-pro-HBEGF
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,N::TVA;Cdkn2alox/lox;Ptenlox/lox
Tissue collected,"Brain,Tumor"
Zinc fixed ?,No
Formalin fixed?,Yes
Parafin Block #'s,HCI-20-23564
,HCI-20-23564-T
Slide #'s,1
H&E?,yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Brain apperes Normal.
