Mouse Necropsy information sheet,...2,...3,...4
Initials,SA,,
Today's Date,42996,,
Mouse ID,16354,,
Disposition,poor health,,
Sex,Female,,
Strain,N-TVA; Braf Ca/+; Pten f/f; Ink f/f,,
BD,42945,,
Sac Date,42993,,
Age at Sac,48,,
RCAS injection?,Yes,,
Injection route,intracranial,,
Injection Date,42947,,
Virus 1,Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,42977,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; Braf het; Pten f/f; Ink f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Two growths were found on top of the skull. The skull and brain were fixed in formalin and left to be separated upon switching the sample over to ethanol.,,
,,,
