Mouse Necropsy information sheet,...2
Initials,MS
Today's Date,43238
Mouse ID,18193-01
Disposition,"Hunched, thin, lethargic"
Sex,Female
Strain,Nestin-TVA; AIP
BD,43173
Sac Date,43238
Age at Sac,65
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43175
Virus 1,IDH1 R132H
Virus 2,PDGFA
Virus 3,Cre
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,43187
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,N:TVA: AIP
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,Brain
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Hunched, thin, lethargic"
,"Brain and skull intact, tumor tissue noticed on left hemisphere, blood on brain as well."
,TMZ dosed 3hrs prior to sac
,Cardiac puncture for whole blood & plasma
