Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,TT,,,,,,,,
Today's Date,45047,,,,,,,,
Mouse ID,34147-01,,,,,,,,
Disposition,"Small tumor, mouse was walking around in circles with head tilted, scruffy fur",,,,,,,,
Sex,Female,,,,,,,,
Strain,All Alleles,,,,,,,,
BD,45007,,,,,,,,
Sac Date,45047,,,,,,,,
Age at Sac,40,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Near ear,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,RCAS-Cre,,,,,,,,
Virus 2,RCAS-NCAM,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,All Alleles,,,,,,,,
Tissue collected,"Tumor, extracranial tumor, lungs, brain, liver",,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"There was tumor(?) inside the cranial cavity but outside the brain, collected",,,,,,,,
,"The lungs looked terrible, inflated, definitely something growing inside",,,,,,,,
