Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,11/15/21/2021,,
Mouse ID,27421-11,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
BD,44384,,
Sac Date,44515,,
Age at Sac,131,,
Injection Date,"7/8/21, 7/10/21",,
Virus 1,RCAS Cre-U6-sgRNA-Ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
Tissue collected,"Brain, lung, tumor, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung, tumor, liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,started as a small bump on head and eventually grew past the 2cm limit,,
