Mouse Necropsy information sheet,...2,...3,...4
Initials,MS,,
Today's Date,42852,,
Mouse ID,14294,,
Disposition,Difficulty breathing; rapid respiration,,
Sex,Male,,
Strain,All alleles,,
BD,42788,,
Sac Date,42852,,
Age at Sac,64,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42789,,
Virus 1,RCAS myrFLAG AKT 1PL/2KR,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,42830,,
Date Tumor reported,N/A,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"3 primary tumors, 1 on left forehead, 1 on right neck, 1 on back of head.",,
,Thoracic cavity full of lung/heart mets.,,
,"Skull was intact, brain appeared normal.",,
,2 cryogenic tube of tumor tissue was frozen down.,,
,Cell line started,,
