Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,42829
Mouse ID,NSG00045
Disposition,Normal activity level; slightly ungroomed; sac'd due to eye issues
Sex,Female
Strain,NSG
BD,42800
Sac Date,42829
Age at Sac,29
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42802
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42824
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Skull and tumor were taken together; tumor like mass was present on the exterior of the skull; brain looked intact from the bottom.
