Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42649
Mouse ID,11076
Disposition,Tumor
Sex,Female
Strain,Nestin-TVA;Atrx f/f;Ink f/f
BD,42550
Sac Date,42639
Age at Sac,89
RCAS injection?,Yes
Injection route,IC
Injection Date,42440
Virus 1,CRE
Virus 2,PDGFA
Virus 3,IDH1WT
Virus 4,
Evidence of tumor?,No
Date Tumor reported,42552
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA;ATRX f/f Inkf/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,Enlarged and slightly discolored brain
