Mouse Necropsy information sheet,...2
Initials,SA
Today's Date,42887
Mouse ID,15206
Disposition,Normal
Sex,Male
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42853
Sac Date,42887
Age at Sac,34
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42855
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,Yes
Duration of Dox Tx,10 days
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,This mouse was sac'd due to a negative MRI scan.
