Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,42838,,
Mouse ID,14251,,
Disposition,Normal disposition; sac'd due to tumor size. T1-between ears.,,
Sex,Male,,
Strain,All Alleles,,
BD,42785,,
Sac Date,42838,,
Age at Sac,53,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42787,,
Virus 1,HA-Akt1,,
Virus 2,Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor",,
Zinc fixed?,"Brain, lungs",,
Formalin fixed?,"Tumor, organs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Normal disposition; sac'd due to tumor size. T1-between ears.,,
,Tumor appeared cystic - divided into tiny pieces.,,
,Lungs were grey in appearance and had multiple spots.,,
,All other organs appeared normal.,,
,3 cryogenics and 1 cell line attempted per tumor.,,
