Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44707,,
Mouse ID,29579-30,,
Disposition,,,
Disposition,Sacked for end date,,
Treatment,,,
Sex,Male,,
Strain,N-TVA::Ptenf/f;Inkf/f,,
BD,44614,`,
Sac Date,44694,,
Age at Sac,80,,
Injection Date,44616,,
Virus 1,RCAS Cre + RCAS pro HBEGF (2/24/22 KC/JP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,N-TVA::Ptenf/f;Inkf/f,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Brain and lungs appear normal upon necropsy, no tumor isolated",,
,,,
,,,
