Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42597,,
Mouse ID,11022,,
Disposition,"T1- between scapulas; stressed disposition, issue with eye as well.",,
Sex,Male,,
Strain,All Alleles,,
BD,42547,,
Sac Date,42597,,
Age at Sac,50,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42548,,
Virus 1,RCAS HA-Akt2 E17K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, spleen, liver, kidneys, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"T1- between scapulas; stressed disposition, issue with eye as well.",,
,Skull intact,,
,Lungs had small nodules present; sizeable met on small intestine,,
,All other organs appeared normal,,
,"T1- 3 cryogenics , 1 cell line attempted; Dmet- 1 cell line attempted",,
