Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,42794
Mouse ID,NSG00024-00
Disposition,Lethargic; hunched.
Sex,F
Strain,NSG
BD,42757
Sac Date,42794
Age at Sac,37
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42761
Virus 1,MTG1 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,yes
Date Tumor reported,42788
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Lethargic; hunched; domed head; enlarged brain; large amount of fluid surrounding brain.
