Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42271
Mouse ID,7463
Disposition,Exp end point
Sex,Male
Strain,N-TVA; ATRX f/f; Ink4a f/f
BD,42120
Sac Date,42271
Age at Sac,151
RCAS injection?,Yes
Injection route,IC
Injection Date,42122
Virus 1,RCASBP(A)cre
Virus 2,IDH1R132H
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,N-TVA; ATRX f/f; Ink4a f/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
