Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,45025,,,,,,,,
Mouse ID,33815-10,,,,,,,,
Disposition,"Head tilt, not moving well, no evidence of tumor",,,,,,,,
Sex,Male,,,,,,,,
Strain,DCT-TVA::Ptenf/f;Brafca/ca,,,,,,,,
BD,44971,,,,,,,,
Sac Date,45025,,,,,,,,
Age at Sac,54,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Subcutaneous behind ear,,,,,,,,
Injection Date,44971,,,,,,,,
Virus 1,DF-1 RCAS Cre,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Ptenf/f;Brafca/ca,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Upon necropsy, nothing about the organs looked grossly abnormal, there was no evident primary tumor",,,,,,,,
