Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,43077,,
Mouse ID,16858,,
Disposition,"Sac'd due to neurological issues; motor skills diminished, maybe seizing(?) T1- R ear, large; T2- nose, very small",,
Sex,Female,,
Strain,All Alleles,,
BD,43002,,
Sac Date,43077,,
Age at Sac,75,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,43004,,
Virus 1,RCAN myr-HA-Akt1,,
Virus 2,RCAS Tet-Off-IRES-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,43061,,
Dox Tx?,Yes,,
Duration of Dox Tx,16,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Tumors, brain, lungs",,
Zinc fixed?,"Brain, lungs",,
Formalin fixed?,Tumors,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,None noted,,
Additional comments,"Sac'd due to neurological issues; motor skills diminished, maybe seizing(?) T1- R ear, large; T2- nose, very small",,
,Brain and skull were in tact.,,
,Other organs appeared normal,,
,T1- 3 cryos and 1 cell line attempted; T2- 1 cell line,,
