Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,CMM,,,,,,,,
Today's Date,44963,,,,,,,,
Mouse ID,32204-11,,,,,,,,
Disposition,Lost greater than 20% of its weight. Scruffy. Moves slowly.,,,,,,,,
Sex,Male,,,,,,,,
Strain,GFP,,,,,,,,
BD,44846,,,,,,,,
Sac Date,44963,,,,,,,,
Age at Sac,117,,,,,,,,
RCAS injection?,,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,No,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,"Brain, Lung, Liver",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"The mouse was treated 2 hours before it was sac'd with Triple combination of Paxalisib (10mg/kg), Binimetinib (25mg/kg), and Encorafenib (20mg/kg).",,,,,,,,
