Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43133
Mouse ID,NSG 00183
Disposition,"Sac'd - hunched, ungroomed, thin; T1 - L scapula"
Sex,Female
Strain,NSG
BD,43058
Sac Date,43133
Age at Sac,75
RCAS injection?,No
Injection route,Tail vein
Injection Date,43097
Virus 1,7788 (Tail vein)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,43122
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,"Brain, lungs, tumor"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Sac'd - hunched, ungroomed, thin; T1 - L scapula"
,Brain and skull in tact.
,Brain appeared slightly enlarged but normal.
,T1 - 1 cryo and 1 cell ine attempted
,Lung nodules present
