Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44643,,
Mouse ID,28896-00,,
Disposition,Large wart/nodule on top of head. Does not appear to be a tumor,,
Disposition,TVA-,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,M,`,
Strain,DCT-TVA::Ptenf/f;Brafca/ca,,
BD,44550,,
Sac Date,44643,,
Age at Sac,93,,
Injection Date,44553,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (12/23/21 GP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,"Nodule visible, does not look like a tumor",,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Brafca/ca,,
Tissue collected,"Brain, Lungs, Liver, nodule",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver, nodule",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Mouse appeared mostly healthy,,
,"Nodule on head was crusty, barely connected to skin",,
