Mouse Necropsy information sheet,...2
Initials,DK
Today's Date,40441
Mouse ID,20896
Disposition,Sac'd due to domed head (very large)
Sex,Male
Strain,NTVA; p10 f/f; Ink f/f
BD,43682
Sac Date,43728
Age at Sac,
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43684
Virus 1,HBEGF
Virus 2,CRE
Virus 3,
Virus 4,
Evidence of tumor?,Domed head
Date Tumor reported,
Dox Tx?,NO
Duration of Dox Tx,N/A
Genotype,
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Brain appeared enlarged
