Mouse Necropsy information sheet,...2
Initials,AW
Today's Date,42702
Mouse ID,11744
Disposition,normal
Sex,male
Strain,Nestin-TVA; ATRX flox/flox; Ink4a f/f; Pten f/f
BD,42598
Sac Date,42650
Age at Sac,52
RCAS injection?,Yes
Injection route,IC
Injection Date,42599
Virus 1,Cre
Virus 2,LV:NF1
Virus 3,
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox; Ink4a f/f; Pten f/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
