Mouse Necropsy information sheet,...2
Initials,DS
Today's Date,42807
Mouse ID,13649
Disposition,"mangey, normal"
Sex,M
Strain,N-TVA; ATRX f/+; Ink4a f/f; Pten f/f
BD,42740
Sac Date,42807
Age at Sac,68d
RCAS injection?,Yes
Injection route,intercranial
Injection Date,42742
Virus 1,LV:NF1
Virus 2,RCAS Cre
Virus 3,
Virus 4,
Evidence of tumor?,yes
Date Tumor reported,42760
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f; atrx f/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,hydrocephaly
