Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,43507,,
Mouse ID,19367,,
Disposition,T1 -- L-scapula,,
Disposition,T2 -- R-scapula,,
Disposition,Sac'd due to tumor size,,
Disposition,,,
Treatment,FAKi only,,
Sex,Male,,
Strain,All Alleles,,
BD,43445,,
Sac Date,43507,,
Age at Sac,62,,
Injection Date,43448,,
Virus 1,RCAS Akt1E17K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,,,
Genotype,All Alleles,,
Tissue collected,"Brain, lungs, T1, T2",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lungs, T1, T2",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Skull intact,,
,FFPE for T1,,
,"1 Cryo for T1, T2",,
,"1 CL attempted for T1, T2",,
,All organs appeared normal,,
