Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,43077
Mouse ID,NSG 00138
Disposition,"Normal disposition; sac'd due to tumor size; T1- R scapula, large but fluid filled and necrotic"
Sex,Female
Strain,NSG
BD,42985
Sac Date,43077
Age at Sac,92
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,42989
Virus 1,MTG1 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,yes (1)
Date Tumor reported,43045
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain and lungs"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
,"Normal disposition; sac'd due to tumor size; T1- R scapula, large but fluid filled and necrotic"
,Organs appeared normal otherwise
,No cryos and 1 cell line attempted
,No lung nodules
