Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42257
Mouse ID,07336-00
Disposition,Exp end point.
Sex,Female
Strain,Nestin-TVA; ATRX flox/flox
BD,42106
Sac Date,42257
Age at Sac,151
RCAS injection?,Yes
Injection route,IC
Injection Date,42107
Virus 1,RCASBP(A) Cre
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
