Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43069
Mouse ID,NSG 00140
Disposition,Normal disposition; sac'd due to tumor size. Tumor located midback between scapulae
Sex,Male
Strain,NSG
BD,42985
Sac Date,43069
Age at Sac,84
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,42989
Virus 1,MTG1 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,yes (1)
Date Tumor reported,43045
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
,Normal disposition; sac'd due to tumor size. Tumor located midback between scapulae
,Organs appeared normal otherwise
,3 cryos taken and 1 cell line attempted I think.
,No lung nodules
