Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42864
Mouse ID,14908
Disposition,"hunched, emaciated, lethargic"
Sex,Female
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42833
Sac Date,42864
Age at Sac,31
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42836
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,possible
Date Tumor reported,42843
Dox Tx?,no
Duration of Dox Tx,
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,hydrocephalus
