Mouse Necropsy information sheet,...2,...3
Initials,GP,
Today's Date,44004,
Mouse ID,22187-00,
Disposition,Possible primary tumor.,
Disposition,Experimental endpoint,
Treatment,,
Sex,Male,
Strain,DCT-TVA; Braf CA/CA; Tyr/+,
BD,43821,`
Sac Date,44004,
Age at Sac,183,
Injection Date,43825,
Virus 1,RCAS myr-FLAG-AKT3 + RCAS Cre (12/26/19 GP),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,Yes,
Date Tumor reported,,
Dox Tx?,,
Duration of Dox Tx,,
Genotype,DCT-TVA; Braf CA/CA; Tyr/+,
Tissue collected,"B,L,T",
Zinc fixed?,No,
Formalin fixed?,"B,L,T",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,Yes,
Additional comments,Skull intact.,
,Possible primary tumor found in lower back behind intestines and attached to skin.,
,Small lung nodules observed.,
,All other organs appeared normal.,
