Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,43156,,
Mouse ID,17633,,
Disposition,Normal disposition; sac'd due to tumor size. T1 on L-scapula,,
Sex,Female,,
Strain,All Alleles,,
BD,43101,,
Sac Date,43156,,
Age at Sac,55,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,43103,,
Virus 1,RCAS myr-HA-Akt1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Tumors, brain, lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Tumor, brain, lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,None noted,,
Additional comments,Skull intact -- brain appeared normal,,
,Other organs appeared normal,,
,2 cryos per tumor,,
