Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,CMM,,,,,,,,
Today's Date,4/20/203,,,,,,,,
Mouse ID,33528-10,,,,,,,,
Disposition,Tumor exceeded 2000 mm^3 volume limit,,,,,,,,
Sex,Male,,,,,,,,
Strain,GFP,,,,,,,,
BD,44949,,,,,,,,
Sac Date,45033,,,,,,,,
Age at Sac,84,,,,,,,,
RCAS injection?,No,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,45003,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,This mouse was in relatively good health despite the large tumor.,,,,,,,,
