Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44368,,
Mouse ID,26635-00,,
Disposition,Sac'd due to tumor size,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,All Alleles,,
BD,44283,,
Sac Date,44368,,
Age at Sac,85,,
Injection Date,44284,,
Virus 1,RCAS Akt1+Cre 3/29/21 CS,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,44361,,
Dox Tx?,,,
Drug treatment,,,
Genotype,All Alleles,,
Tissue collected,"B,L,T1",,
Zinc fixed?,No,,
Formalin fixed?,"B,L,T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Sac'd due to tumor size,,
,Skull was mostly intact.,,
,Tumor above left ear,,
