Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,42879
Mouse ID,NSG00069
Disposition,Hunched and ungroomed; sac'd due to tumor burden/eye infection.
Sex,Female
Strain,NSG
BD,42849
Sac Date,42879
Age at Sac,30
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42851
Virus 1,9678 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,42873
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,Yes
Formalin fixed?,No
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Hunched and ungroomed; sac'd due to tumor burden/eye infection.
,Skull was fluid-filled. Right side of eye had fluid-filled sac (presumed to be draining from skull?)
,Brain was intact but enlarged and very soft. Tumor tissue was growing at base of skull.
