Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,TT,,,,,,,,
Today's Date,45047,,,,,,,,
Mouse ID,33993-00,,,,,,,,
Disposition,"Large tumor, slow moving",,,,,,,,
Sex,Female,,,,,,,,
Strain,All Alleles,,,,,,,,
BD,44991,,,,,,,,
Sac Date,45047,,,,,,,,
Age at Sac,56,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Near ear,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,RCAS-Cre,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,All Alleles,,,,,,,,
Tissue collected,"Tumor lungs, brain, liver",,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,The tumor consisted of one large tumor and several smaller tumors underneath,,,,,,,,
,Lungs and brain looked normal,,,,,,,,
