Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44568,,
Mouse ID,28278-00,,
Disposition,No tumor,,
Disposition,Wobbly and unstable,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA::Ptenf/f;Inkf/f,,
BD,44488,,
Sac Date,44545,,
Age at Sac,57,,
Injection Date,44489,,
Virus 1,RCAS Cre + RCAS proHBEGF (10/20/21 RE),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Inkf/f,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"No tumor was noted, mouse appeared wobbly and unstable, malocclusion noticed upon necropsy, mouse was very skinny",,
