Mouse Necropsy information sheet,...2
Initials,KB
Today's Date,42772
Mouse ID,13762-00
Disposition,
Sex,M
Strain,Dct Tva
BD,42749
Sac Date,42771
Age at Sac,22d
RCAS injection?,No - inj with 2054 by MS
Injection route,
Injection Date,42750
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,yes
Date Tumor reported,42769
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Possibly Dct Tva listed as n/a
Tissue collected,None
,
Formalin fixed?,
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
