Mouse Necropsy information sheet,...2,...3,...4
Initials,ZL,,
Today's Date,44249,,
Mouse ID,25711,,
Disposition,T1: Right shoulder/head/under ear,,
Disposition,Reason for sac: tumor size,,
Disposition,,,
Disposition,,,
Treatment,BRAFi + MEKi + FAKi,,
Sex,Female,`,
Strain,All Alleles,,
BD,44185,,
Sac Date,44249,,
Age at Sac,64,,
Injection Date,44186,,
Virus 1,RCAS myrAkt1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,All Alleles,,
Tissue collected,"T1, T2, B, L",,
Zinc fixed?,No,,
Formalin fixed?,"T1, T2, B, L",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,"Skull intact, brain normal.",,
,Tumor found in chest cavity but too small to obtain it's own cryogenic samples and cell line. Formalin fized only.,,
,"T1, for cryogenic samples/cell lines.",,
,No blood,,
