Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44410,,
Mouse ID,26304-03,,
Disposition,No tumor noted,,
Disposition,sac'd for squinting and seemingly being ill,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA:Brafca/ca;Tyr/+,,
BD,44248,,
Sac Date,44410,,
Age at Sac,162,,
Injection Date,44250,,
Virus 1,RCAS Cre + RCAS myr-HA-Akt1 (GP 2/23/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,NA,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA:Brafca/ca;Tyr/+,,
Tissue collected,"B,L",,
Zinc fixed?,No,,
Formalin fixed?,"B,L",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Sac'd for health reasons,,
,Small nodules on lungs,,
,No evidence of tumor,,
