Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,43987,,
Mouse ID,23477,,
Disposition,T1 -- Left shoulder,,
Disposition,Sac'd due to tumor size,,
Treatment,,,
Sex,Male,,
Strain,All alleles x pgc1a,,
BD,43940,`,
Sac Date,43987,,
Age at Sac,47,,
Injection Date,43942,,
Virus 1,RCAS Cre,,
Virus 2,RCAS myrAkt1,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,Braf ca; Cdkn2a f/f; Pten f/f; Pgc1a f/f,,
Tissue collected,"Brain, lungs, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lungs, T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Skull intact,,
,Lung nodules visible,,
,All other organs appeared normal,,
