Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42835,,
Mouse ID,14079,,
Disposition,"Large tumor running along back, neck, and top of head. Mouse appeared slightly lethargic and slow moving-- could have been due to tumor burden.",,
Sex,Male,,
Strain,Braf wt,,
BD,42772,,
Sac Date,42835,,
Age at Sac,63,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42773,,
Virus 1,RCAS HA-Nras Q61R ires Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42815,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor, half of ribcage",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Tumor penetrated ribcage and appeared to take over half of it. Thoracic cavity approximately half filled with tumor mass, pushing up against heart and lungs.",,
,Hard to tell anything about H&L due to tumor penetration.,,
,Skull intact.,,
,Cell line attempted,,
,2 cyrovials frozen,,
