Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44398,,
Mouse ID,27150-01,,
Disposition,Sacked for tumow on neck,,
Disposition,,,
Treatment,,,
Sex,Female,,
Strain,All Alleles,,
BD,44342,`,
Sac Date,44398,,
Age at Sac,56,,
Injection Date,44344,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (CS/TT 5/28/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,All Alleles,,
Tissue collected,"Brain, lungs, tumor",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lungs, tumor",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,Brain appeared normal,,
,A few lung mets were seen grossly,,
,"Tumor on back of neck, did not exceed 2,000 mm^3",,
