Mouse Necropsy information sheet,...2,...3
Initials,GP,
Today's Date,43980,
Mouse ID,21900-03,
Disposition,No detectable primary tumor,
Disposition,Experimental endpoint,
Treatment,,
Sex,Male,
Strain,DCT-TVA; Braf CA/CA; Tyr/+,
BD,43787,`
Sac Date,43980,
Age at Sac,193,
Injection Date,43788,
Virus 1,RCAS myr-FLAG-AKT1 + RCAS Cre (11/19/19 GP),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,No,
Date Tumor reported,,
Dox Tx?,,
Duration of Dox Tx,,
Genotype,DCT-TVA; Braf CA/CA; Tyr/+,
Tissue collected,"B,L",
Zinc fixed?,No,
Formalin fixed?,"B,L",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,No,
Additional comments,Skull intact.,
,Lungs and all other organs appeared normal.,
,No evidence of primary tumor.,
