Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,44243,,
Mouse ID,25861-03,,
Disposition,Sac'd due to tumor size,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,All Alleles,,
BD,44201,,
Sac Date,44243,,
Age at Sac,42,,
Injection Date,44201,,
Virus 1,myrAKT1 & Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,44238,,
Dox Tx?,,,
Drug treatment,,,
Genotype,All Alleles,,
Tissue collected,"Brain, Lungs, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, T1",,
Parafin Block #'s,"HCI-21-25861 B, HCI-21-25861 L, HCI-21-25861 T1",,
,,,
Slide #'s,,,
H&E?,yes,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Sac'd due to tumor size (all around neck).,,
,Brain intact.,,
,Lungs had gross visualization of lung nodules.,,
,No other issues noted.,,
,Chunk of tumor taken for flow cytometry.,,
