Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42689,,
Mouse ID,11676,,
Disposition,domed head,,
Sex,male,,
Strain,"n-tva, pten f/f",,
BD,42592,,
Sac Date,42650,,
Age at Sac,58,,
RCAS injection?,Yes,,
Injection route,intercrainal,,
Injection Date,42594,,
Virus 1,TRE3-BRAF,,
Virus 2,tetoff,,
Virus 3,cre,,
Virus 4,,,
Evidence of tumor?,no,,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,"n-tva, pten f/f",,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"H&E: tumor next to striatum, arising from SVZ, little bit of  angiogenesis.",,
,,,
