Mouse Necropsy information sheet,...2
Initials,RB
Today's Date,42992
Mouse ID,14982
Disposition,Experimental Endpoint
Sex,Female
Strain,Nestin-TVA;pten f/f;Ink4a f/f
BD,42839
Sac Date,42992
Age at Sac,153
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42842
Virus 1,IDH1WT
Virus 2,PDGFA
Virus 3,Cre
Virus 4,
Evidence of tumor?,No
Date Tumor reported,NA
Dox Tx?,no
Duration of Dox Tx,NA
Genotype,Nestin-TVA;pten f/f;Ink4a f/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Brain appeared to be normal
