Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43193
Mouse ID,NSG 00235
Disposition,Sac'd - due to ungroomed and skinny appearance
Sex,Female
Strain,NSG
BD,43138
Sac Date,43193
Age at Sac,55
RCAS injection?,No
Injection route,Intracranial
Injection Date,43139
Virus 1,"5610 HA-Akt1-E17K, Lucif-ZsGreen"
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (2; intracranial and base of tail?? - not verified)
Date Tumor reported,43192
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,"Brain, lungs, tumor"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Sac'd - due to ungroomed and skinny appearance
,Brain and skull in tact.
,Organs appeared normal
,No lung nodules noted
