Mouse Necropsy information sheet,...2
Initials,GP/GP
Today's Date,43756
Mouse ID,NSG 00481
Disposition,"Experimental endpoint, lethargic, scruffy"
Sex,Male
Strain,NSG
BD,43555
Sac Date,43755
Age at Sac,200
RCAS injection?,No
Injection route,Intracranial injection
Injection Date,43557
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of domed head?,yes
Date domed head reported,--
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Brain, plasma"
Zinc fixed?,No
Formalin fixed?,Brain
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Experimental endpoint, lethargic, scruffy"
,"Brain collected for IHC and H&E, tissue taken to culture"
,engrafted with 3541 patient-derived tumor stem cells 4/2
