Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44410,,
Mouse ID,26644-01 (br),,
Disposition,Sac'd due to tumor size,,
Disposition,Tumor impairing vision,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA::Ptenf/f;Brafca/ca,,
BD,44284,,
Sac Date,44410,,
Age at Sac,126,,
Injection Date,44285,,
Virus 1,RCAS Cre 3/30/21 CS,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,44361,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Brafca/ca,,
Tissue collected,"B,L,T1",,
Zinc fixed?,No,,
Formalin fixed?,"B,L,T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Sac'd due to tumor size,,
,Skull was intact.,,
,Tumor impairing vision,,
