Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KS,,,,,,,,
Today's Date,44984,,,,,,,,
Mouse ID,33446-01,,,,,,,,
Disposition,found dead with large primary tumor,,,,,,,,
Sex,Male,,,,,,,,
Strain,All Alleles,,,,,,,,
BD,44943,,,,,,,,
Sac Date,44984,,,,,,,,
Age at Sac,41,,,,,,,,
RCAS injection?,RCAS-Cre + RCAS-myrAKT1,,,,,,,,
Injection route,SubQ behind ear,,,,,,,,
Injection Date,44945,,,,,,,,
Virus 1,RCAS-Cre,,,,,,,,
Virus 2,RCAS-myrAKT1,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,TVA+,,,,,,,,
Tissue collected,none,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,found dead with large primary tumor,,,,,,,,
