Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44627,,
Mouse ID,29055-01,,
Disposition,"Head tumor, was not walking normally",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,All Alleles + Cas9f/f,,
BD,44570,,
Sac Date,44627,,
Age at Sac,57,,
Injection Date,44483,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (1/13/22 RE),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,"Yes, but tumor was not very large",,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,All Alleles + Cas9f/f,,
Tissue collected,"Brain, Lungs, Liver, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver, T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,"Tumor outside of skull, animal was not walking normally",,
