Mouse Necropsy information sheet,...2,...3,...4
Initials,GP/HW,,
Today's Date,43872,,
Mouse ID,21774,,
Disposition,No detectable primary tumor,,
Disposition,"Mouse sac'd due to illness -- shallow breathing, shaky, would not extend legs.",,
Treatment,,,
Sex,Female,,
Strain,DCT-TVA; Braf CA/CA; Tyr/+,,
BD,43775,`,
Sac Date,43872,,
Age at Sac,97,,
Injection Date,44142,,
Virus 1,RCAS myr-FLAG-AKT2 + RCAS Cre 11/7/19 (GP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,DCT-TVA; Braf CA/CA; Tyr/+,,
Tissue collected,"B,L, lymph nodes, major organs",,
Zinc fixed?,No,,
Formalin fixed?,"B,L, lymph nodes, major organs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Skull intact,,
,Gross visualization of lung nodules.,,
,Brain was deformed and small.,,
,All other organs appeared normal.,,
,Removed tissue that could be primary tumor but nothing of substance.,,
