Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42299
Mouse ID,8242
Disposition,Hunched back
Sex,Male
Strain,Nestin-TVA; ATRX flox/flox;Ink F/F
BD,42229
Sac Date,42298
Age at Sac,69
RCAS injection?,Yes
Injection route,IC
Injection Date,42229
Virus 1,Cre
Virus 2,MIDHR132H
Virus 3,PDGFRA
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,
Tissue collected,Brain and spine
,Nestin-TVA; ATRX flox/flox;Ink F/F
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,"Animal was sick,lethargic with a hunched back. Upon necropsy no evidence of tumor or abnormalities in brain morphology was noted."
