Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,43447
Mouse ID,15217
Disposition,Scruffy but alert; lesion on right ear not healing after vet treatment so advised for sac
Sex,Female
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42854
Sac Date,43447
Age at Sac,593
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42855
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,"MRI showing possible tumor 5/23/2017, placed on Dox"
Date Tumor reported,42878
Dox Tx?,"Yes (Dox on 5/23/2017, Dox off 5/22/2018)"
Duration of Dox Tx,1 year
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Two large tumors on MRI 12/11/2018; tissue extracted for cell line; Brain fixed for IHC
