Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,43096
Mouse ID,NSG 00160
Disposition,Normal disposition: sac'd due to tumor size; T1- R scapula
Sex,Female
Strain,NSG
BD,43013
Sac Date,43096
Age at Sac,83
RCAS injection?,No
Injection route,Subcutaneous
Injection Date,43014
Virus 1,MTG4 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,yes (1)
Date Tumor reported,43060
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain and lungs"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
,Normal disposition: sac'd due to tumor size; T1- R scapula
,Brain and skull were intact
,Organs appeared normal
,3 cryos and 1 cell line attempted
