Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,45037,,,,,,,,
Mouse ID,34029-01,,,,,,,,
Disposition,"Sac'd for tumor size, not moving well",,,,,,,,
Sex,Female,,,,,,,,
Strain,All Alleles + Cas9f/f,,,,,,,,
BD,44994,,,,,,,,
Sac Date,45037,,,,,,,,
Age at Sac,43,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Subcutaneous behind ear,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,RCAS Cre 3/10/23,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,45035,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca;Cas9f/f,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Had primary tumor growing between ears and under neck, also had a secondary tumor growing behind right front limb. Underneath brain there appeared to be a small mass, some small lung nodules",,,,,,,,
