Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42265
Mouse ID,7404
Disposition,Exp end point
Sex,Female
Strain,Nestin-TVA; ATRX flox/flox
BD,42113
Sac Date,42265
Age at Sac,152
RCAS injection?,Yes
Injection route,IC
Injection Date,42115
Virus 1,P53R273L3XFlag_IRES_Cre
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
