Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42233
Mouse ID,07217-03(br)
Disposition,Exp end point
Sex,M
Strain,Nestin-TVA; ATRX flox/flox
BD,42078
Sac Date,42230
Age at Sac,150 days
RCAS injection?,Yes
Injection route,IC
Injection Date,
Virus 1,RCASBP(A) Cre
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
