Mouse Necropsy information sheet,...2
Initials,AW
Today's Date,42705
Mouse ID,10963
Disposition,normal
Sex,male
Strain,Nestin-TVA; ATRX flox/flox; Ink4a f/f
BD,42540
Sac Date,42691
Age at Sac,151
RCAS injection?,Yes
Injection route,IC
Injection Date,42515
Virus 1,Cre
Virus 2,IDH1WT
Virus 3,PDGFA
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox; Ink4a f/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
