Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44616,,
Mouse ID,29011-00,,
Disposition,no primary visible,,
Disposition,sac'd due to enddate,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,F,`,
Strain,All Alleles,,
BD,44569,,
Sac Date,44616,,
Age at Sac,47,,
Injection Date,"1/11/22, 1/12/22",,
Virus 1,"RCAS myr-HA-AKT1 + RCAS Cre (1/11/22, 1/12/22 GP)",,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No evidence of tumor,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,
Tissue collected,"Brain, Liver, lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Liver, lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Fairly normal mouse. No primary tumor seen. Healthy heart and lungs, no nodules.",,
