Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42646,,
Mouse ID,11745,,
Disposition,Mobility trouble; T1- nape of the neck; T2- axillary triangle,,
Sex,Female,,
Strain,All Alleles,,
BD,42600,,
Sac Date,42646,,
Age at Sac,46,,
RCAN injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42600,,
Virus 1,RCAS HA-Akt2 E40K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Mobility trouble; T1- nape of the neck; T2- axillary triangle,,
,Skull intruded by T1; brain looked normal,,
,Other organs looked normal,,
,T1- 2 cryogenics and 1 cell line attempted,,
