Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,42738
Mouse ID,09096-01
Disposition,Found dead
Sex,F
Strain,N-TVA;pten f/f
BD,42334
Sac Date,42738
Age at Sac,13months
RCAS injection?,Yes
Injection route,Intercranial
Injection Date,42337
Virus 1,TRE2-HB-EGF(cs) and TetOff and Cre
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"maybe, some MRI scan, waiting on H&E confirmation"
Date Tumor reported,12/17/2016 (moved to SMBB for MRI)
Dox Tx?,Yes
Duration of Dox Tx,
Genotype,N-TVA;pten f/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Animal did not exhibit distress on 12/29/16 (thurs); but was found dead 1/3/17 (tues)
,Brain was enlarged.
