Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,45031,,,,,,,,
Mouse ID,34030-10,,,,,,,,
Disposition,"Sac'd for tumor size, not moving and laying on side",,,,,,,,
Sex,Female,,,,,,,,
Strain,All Alleles + cas9f/f,,,,,,,,
BD,44994,,,,,,,,
Sac Date,45030,,,,,,,,
Age at Sac,36,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Subcutaneous behind ear,,,,,,,,
Injection Date,44995,,,,,,,,
Virus 1,DF-1 RCAS Cre,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,45025,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca;Cas9f/f/,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Large primary tumor that had begun to invade the skull, brain appeared normal, as did liver. Small lung nodules found",,,,,,,,
